adventure_score,cultural_score,nature_score,luxury_score,budget_level,trip_duration_preference,num_days,hotel_type_encoded,activity_count,season_encoded,destination_base_price,num_travellers,total_cost_npr
0.29,0.21,0.7,0.32,0.35,7,5,0,5,2,6000,4,129312
0.77,0.15,0.04,0.96,0.08,10,5,2,4,0,3000,3,118448
0.14,0.62,0.59,0.24,0.67,14,4,2,2,0,2000,4,156389
0.1,0.77,0.01,0.55,0.93,10,7,1,6,0,10000,3,129267
0.06,0.77,0.65,0.23,0.74,3,4,1,2,0,10000,4,93438
0.94,0.96,0.93,0.88,0.01,14,10,0,3,1,5000,4,134531
0.27,0.81,0.33,0.73,0.65,5,3,2,3,1,6000,2,74958
0.64,0.41,0.43,0.33,0.4,3,4,0,4,1,3000,1,16742
0.45,0.27,0.33,0.58,0.57,7,5,2,2,0,8000,1,42321
0.41,0.5,0.9,0.7,0.31,3,5,1,5,0,3000,2,48469
0.75,0.61,0.42,0.55,0.47,14,4,0,6,2,10000,1,30918
0.7,0.08,0.56,0.06,0.55,14,4,2,5,0,3000,3,114852
0.68,0.72,0.49,0.9,0.45,3,7,0,5,1,5000,1,35434
0.81,0.72,0.4,0.82,0.75,14,3,0,4,1,8000,1,18009
0.89,0.99,0.47,0.29,0.18,5,7,1,4,1,10000,4,145857
0.96,0.87,0.13,0.86,0.12,14,7,2,2,2,3000,1,76234
0.46,0.72,0.42,0.38,0.23,10,5,0,3,0,8000,1,16056
0.61,0.94,0.89,0.24,0.07,14,3,1,5,2,8000,1,20460
0.44,0.54,0.75,0.78,0.14,7,4,2,5,1,6000,3,118089
0.14,0.66,0.22,0.3,0.06,14,4,2,6,1,6000,4,148491
0.64,0.38,0.52,0.7,0.41,7,7,0,5,1,3000,2,64100
0.81,0.91,0.56,0.97,0.56,5,7,0,3,0,4000,1,22228
0.54,0.83,0.05,0.38,0.6,3,3,0,5,2,8000,2,48282
0.91,0.3,0.91,0.21,0.19,3,7,0,6,2,8000,2,71874
0.32,0.28,0.47,0.65,0.31,7,10,1,4,0,10000,4,202085
0.2,0.31,0.05,0.86,0.74,3,5,2,5,2,8000,4,296814
0.33,0.38,0.83,0.5,0.65,7,5,1,6,2,8000,4,195279
0.79,0.17,0.72,0.49,0.92,14,3,2,1,0,10000,1,28190
0.14,0.63,0.07,0.15,0.22,10,5,0,5,2,8000,4,119249
0.01,0.55,0.01,0.53,0.27,7,3,2,6,2,5000,2,76284
0.15,0.19,0.53,0.82,0.27,10,3,1,4,1,6000,2,41250
0.68,0.85,0.65,0.86,0.76,3,7,1,4,2,5000,1,61831
0.17,0.5,0.43,0.78,0.57,3,10,0,2,0,10000,4,122109
0.07,0.93,0.9,0.56,0.03,7,3,0,5,0,10000,4,31490
0.56,0.57,0.85,0.68,0.54,10,4,2,6,0,6000,3,100076
0.23,0.08,0.61,0.61,0.6,7,3,2,3,1,5000,2,75647
0.38,0.19,0.59,0.38,0.77,7,4,2,1,0,4000,2,81750
0.63,0.74,0.32,0.11,0.01,7,7,1,3,0,3000,1,27616
0.56,0.51,0.1,0.09,0.55,14,10,1,4,0,4000,4,191028
0.9,0.91,0.98,0.57,0.17,10,4,0,3,1,4000,4,45115
0.43,0.42,0.48,0.08,0.25,5,7,2,5,0,5000,1,50607
0.95,0.33,0.62,0.8,0.33,7,7,2,5,0,4000,3,183576
0.48,0.18,0.4,0.32,0.73,10,10,0,3,1,4000,4,174768
0.56,0.59,0.55,0.68,0.55,10,4,1,3,2,2000,4,146867
0.63,0.24,0.66,0.72,0.79,3,7,2,4,2,5000,4,434311
0.97,0.7,0.81,0.59,0.91,3,4,2,6,1,3000,1,61428
0.65,0.97,0.33,0.8,0.11,3,5,0,5,2,6000,2,53521
0.46,0.68,0.69,0.15,1.0,10,3,1,4,0,2000,2,39396
0.46,0.21,0.48,0.48,0.44,10,5,0,3,0,10000,1,15899
0.11,0.8,0.93,0.74,0.52,14,4,1,5,1,5000,2,67650
0.18,0.64,0.43,0.03,0.61,5,7,2,4,1,2000,2,157151
0.7,0.8,0.58,0.8,0.54,7,5,0,4,0,4000,4,85051
0.6,0.61,0.59,0.35,0.85,14,4,2,6,1,6000,1,55212
0.12,0.31,0.18,0.69,0.51,10,10,0,5,1,5000,2,100379
0.69,0.65,1.0,0.55,0.49,5,4,1,4,2,2000,3,92448
0.2,0.38,0.56,0.65,0.41,10,7,2,4,1,3000,1,72268
0.76,0.29,0.27,0.54,0.17,10,10,2,4,2,6000,1,113921
0.78,0.82,0.37,0.82,0.04,10,10,0,4,0,8000,2,44254
0.26,0.86,0.09,0.87,0.12,5,4,2,5,2,4000,4,197580
0.78,0.81,0.81,0.57,0.53,14,10,0,3,2,4000,3,176169
0.86,0.99,0.68,0.1,0.96,10,3,1,6,0,8000,2,40629
0.32,0.25,0.84,0.39,0.14,7,7,1,4,0,8000,1,33386
0.28,0.94,0.37,0.95,0.33,3,3,2,4,2,8000,3,120744
0.22,0.43,0.21,0.27,0.83,7,10,2,2,2,10000,4,647551
0.68,0.05,0.1,0.78,0.46,3,4,1,4,0,5000,2,46495
0.65,0.16,0.93,0.27,0.65,7,3,1,6,2,3000,1,34374
0.73,0.76,0.43,0.09,0.1,5,7,0,2,2,3000,4,101486
0.34,0.12,0.86,0.69,0.48,5,7,0,6,0,2000,3,69224
0.38,0.81,0.87,0.64,0.68,3,10,2,1,2,8000,2,294832
0.21,0.75,0.92,0.62,0.44,5,3,0,2,0,6000,4,41041
0.79,0.25,0.64,0.25,0.6,14,5,2,1,2,4000,2,149193
0.19,0.39,0.65,0.78,0.79,5,7,1,1,0,5000,1,31812
0.93,0.13,0.86,0.57,0.37,5,7,0,1,2,2000,1,26746
0.92,0.95,0.4,0.29,0.71,10,7,2,4,0,8000,2,121213
0.08,0.92,0.97,0.16,0.33,14,3,1,6,1,8000,2,33127
0.92,0.12,0.61,0.06,0.67,5,3,0,6,0,8000,1,14766
0.35,0.52,0.82,0.26,0.37,7,3,0,3,1,4000,1,16478
0.58,0.08,0.46,0.36,0.5,14,4,1,2,1,10000,1,29430
0.12,0.74,0.0,0.86,0.01,3,7,1,4,0,3000,1,33940
0.66,0.22,0.25,0.92,0.32,3,10,1,1,2,8000,1,70534
0.52,0.05,0.4,0.88,0.87,7,5,0,5,1,2000,3,75492
0.78,0.74,0.24,0.37,0.97,5,10,0,2,0,5000,1,39141
0.64,0.69,0.01,0.34,0.76,10,5,0,2,2,3000,4,118828
1.0,0.71,0.09,0.92,0.9,14,7,2,3,1,8000,1,84043
0.13,0.82,0.07,0.57,0.43,5,4,1,3,1,10000,4,105664
0.45,0.23,0.94,0.14,0.77,3,4,0,2,1,5000,3,51335
0.36,0.77,0.45,0.46,0.85,3,4,2,3,2,8000,1,61514
0.09,0.25,0.36,0.51,0.68,7,4,0,4,1,6000,2,34672
0.8,0.14,0.01,0.83,0.98,5,4,1,3,2,8000,1,43909
0.92,0.07,1.0,0.2,0.65,5,3,1,1,0,5000,1,16110
0.82,0.39,0.03,0.68,0.17,5,4,1,3,1,3000,1,26271
0.25,0.3,0.41,0.55,0.06,7,7,0,4,0,8000,2,49236
0.02,0.38,0.71,0.48,0.78,7,10,2,3,1,4000,2,230626
0.22,0.9,0.78,0.06,0.99,14,5,2,2,0,2000,2,99727
0.53,0.79,0.74,0.76,0.95,14,7,1,2,0,3000,3,135842
0.91,0.03,0.7,0.95,0.56,14,4,1,5,1,3000,4,85397
0.23,0.22,0.53,0.0,0.92,5,4,1,6,0,10000,3,59724
0.59,0.92,0.77,0.85,0.86,3,5,2,6,1,6000,1,63691
0.14,0.16,0.95,0.79,0.96,7,4,2,5,2,6000,3,220024
0.81,0.38,0.73,0.29,0.18,3,10,1,5,0,3000,3,145575
0.64,0.1,0.5,0.33,0.08,7,5,0,6,0,10000,3,42439
0.21,0.69,0.35,0.79,0.72,3,7,1,6,1,3000,4,205814
0.55,0.1,0.48,0.86,0.65,5,4,1,1,0,4000,1,21186
0.1,0.34,0.89,0.16,0.08,3,5,2,5,1,8000,1,48626
0.61,0.43,0.05,0.33,0.97,10,10,2,6,2,4000,3,469315
0.05,0.57,0.84,0.15,0.36,10,3,1,6,2,6000,4,90420
0.21,0.64,0.98,0.47,0.12,10,7,1,6,1,2000,4,160180
0.38,0.19,0.04,0.44,0.26,7,10,0,2,2,8000,1,50709
0.81,0.41,0.76,0.23,0.06,10,10,1,5,2,10000,4,265871
0.3,0.39,0.85,0.03,0.57,14,10,2,5,0,2000,4,350802
0.21,0.19,0.04,0.08,0.68,5,4,2,3,1,8000,1,45973
0.4,0.33,0.28,0.46,0.87,14,10,2,4,0,5000,2,202106
0.58,0.96,0.1,0.11,0.78,7,10,1,4,1,5000,4,303326
0.04,0.28,0.14,0.61,0.69,3,7,1,6,0,2000,4,144869
0.34,0.79,0.31,0.84,0.86,3,4,0,3,2,5000,3,90235
0.6,0.09,0.44,0.91,0.41,10,10,1,1,2,10000,2,148038
0.51,0.14,0.85,0.88,0.03,5,4,0,2,0,5000,1,12121
0.27,0.82,0.51,0.64,0.12,3,4,1,4,2,5000,2,66461
0.35,0.16,0.89,0.75,0.69,7,3,1,1,0,10000,2,32569
0.68,0.27,0.41,0.02,0.78,3,7,0,6,0,6000,1,26700
0.81,0.31,0.97,0.64,0.42,10,5,1,3,0,5000,3,86209
0.62,0.58,0.01,1.0,0.97,7,10,2,5,2,4000,3,489474
0.06,0.99,0.64,0.86,0.26,7,4,0,5,0,2000,4,68455
0.14,0.03,0.5,0.3,0.91,10,7,2,1,2,8000,2,240662
0.22,0.53,0.78,0.91,0.67,14,5,0,6,2,3000,3,87340
0.74,0.73,0.56,0.91,0.95,7,3,0,3,0,8000,3,40092
0.26,0.29,0.85,0.47,0.87,14,10,2,1,1,3000,1,120452
0.3,0.05,0.85,0.14,0.2,10,10,1,2,1,10000,2,97556
0.33,0.99,0.31,0.06,0.45,5,4,2,2,1,10000,1,43059
0.63,0.4,0.97,0.38,0.04,5,5,0,3,2,3000,1,22064
0.73,0.23,0.88,0.31,0.1,14,10,1,2,0,10000,1,38592
0.73,0.6,0.34,0.89,1.0,7,7,1,2,0,10000,4,142272
0.73,0.13,0.73,0.59,0.17,7,3,1,6,1,10000,1,21631
0.11,0.84,0.05,0.12,0.44,3,10,1,4,2,3000,2,183676
0.01,0.42,0.1,0.52,0.62,5,7,0,5,2,6000,1,39703
0.11,0.2,0.2,0.26,0.52,5,5,2,4,1,3000,1,60911
0.21,0.93,0.33,0.0,0.67,3,10,2,4,0,2000,1,96516
0.9,0.64,0.46,0.98,0.26,3,3,0,1,1,4000,3,26235
0.85,0.89,0.01,0.14,0.65,7,5,1,5,1,8000,1,34190
0.11,0.4,0.46,0.84,0.69,10,7,2,2,0,3000,1,59152
0.91,0.48,0.57,0.44,0.61,7,10,0,6,2,3000,4,239866
0.41,0.05,0.26,0.31,0.7,14,10,2,5,0,8000,3,296952
0.7,0.1,0.66,0.25,0.35,10,4,2,5,0,2000,2,75210
0.5,0.17,0.75,0.32,0.33,7,3,2,2,2,8000,4,149913
0.46,0.8,0.45,0.86,0.45,3,7,2,6,0,2000,4,233208
0.55,0.83,0.79,0.96,0.64,14,10,0,6,2,5000,3,167758
0.22,0.45,0.56,0.62,0.47,7,7,0,1,2,3000,1,37929
0.63,0.8,0.55,0.37,0.11,5,7,0,6,2,8000,4,125646
0.2,0.12,0.85,0.22,0.82,5,5,0,4,0,8000,1,24341
0.66,0.96,0.13,0.5,0.53,3,10,1,5,1,6000,2,135992
0.73,0.13,0.39,0.6,0.88,14,7,1,5,2,10000,2,144967
0.34,0.29,0.8,0.14,0.6,14,5,2,5,1,8000,2,112101
0.71,0.69,0.92,0.13,0.71,5,10,2,6,2,4000,1,160800
0.48,0.57,0.67,0.42,0.75,14,5,1,1,2,2000,1,36229
0.67,0.2,0.75,0.16,0.29,7,4,0,6,1,3000,1,18616
0.62,0.68,0.56,0.22,0.65,10,4,2,6,1,8000,1,50203
0.96,0.98,0.31,0.55,0.01,7,4,2,4,0,8000,3,97329
0.74,0.2,0.72,0.19,0.45,3,4,0,6,2,2000,4,86356
0.56,0.13,0.58,0.26,0.33,5,3,0,3,2,2000,3,60399
0.36,0.78,0.32,0.22,0.18,3,10,0,4,2,6000,4,164879
0.88,0.66,0.33,0.29,0.95,14,10,1,5,2,2000,1,99686
0.24,0.64,0.92,0.24,0.04,7,7,0,4,1,6000,3,78808
0.77,0.51,0.51,0.49,0.3,5,5,2,1,0,3000,1,35569
0.67,0.77,0.86,0.42,0.1,14,7,2,1,2,8000,2,163944
0.33,0.09,0.05,0.79,0.56,14,4,1,4,1,5000,4,104038
0.39,0.12,0.01,0.72,0.06,14,3,2,1,1,6000,1,27215
0.61,0.28,0.93,0.38,0.82,3,7,0,5,0,3000,4,133872
0.96,0.14,0.68,0.91,0.8,7,3,2,5,0,2000,1,30370
0.39,0.55,0.09,0.21,0.74,7,4,1,6,2,3000,2,75195
0.83,0.19,0.18,0.8,0.85,14,7,2,5,0,4000,1,63736
0.73,0.49,0.33,0.13,0.66,3,5,2,1,0,4000,4,179558
0.66,0.69,0.15,0.57,0.81,10,4,0,3,0,10000,2,40115
0.28,0.36,0.68,0.33,0.48,10,5,1,4,2,2000,2,91853
0.84,0.86,0.14,0.54,0.26,3,3,0,5,2,2000,4,99421
0.91,0.55,0.54,1.0,0.47,5,5,1,2,2,8000,3,119325
0.51,0.4,0.5,0.66,0.85,14,4,2,2,1,3000,2,105450
0.87,0.15,0.73,0.94,0.04,10,4,0,3,1,3000,1,15356
0.91,0.36,0.47,0.45,0.05,7,3,2,5,2,10000,3,126282
0.54,0.17,0.65,0.37,0.65,3,10,1,4,0,6000,4,207346
0.79,0.89,0.01,0.88,0.44,5,3,2,6,1,3000,2,64743
0.6,0.82,0.66,0.41,0.33,3,7,2,4,1,3000,2,140808
0.24,0.13,0.59,0.13,0.51,14,4,0,2,1,3000,4,81436
0.02,0.72,0.66,0.28,0.09,10,10,1,4,0,3000,4,166317
0.58,0.77,0.62,0.51,0.17,7,7,2,5,0,3000,4,197520
0.02,0.52,0.91,0.68,0.83,14,3,0,4,2,6000,1,29327
0.75,0.09,0.66,0.9,0.54,3,7,2,4,1,10000,1,81869
0.23,0.8,0.79,0.38,0.59,14,3,1,2,1,5000,2,37333
0.88,0.41,0.19,0.71,0.79,14,10,0,5,0,5000,2,78887
0.36,0.15,0.65,0.25,0.85,10,10,1,5,1,8000,4,285592
0.55,0.56,0.18,0.56,0.48,7,10,1,6,1,8000,2,128920
0.23,0.78,0.95,0.1,0.51,7,10,2,6,2,8000,1,145665
0.64,0.8,0.82,0.47,0.6,3,3,1,2,1,2000,1,23177
0.98,0.61,0.52,0.71,0.6,5,7,1,1,0,10000,3,95566
0.6,0.52,0.23,0.17,0.04,5,3,0,1,1,10000,4,45199
0.41,0.2,0.02,0.7,0.92,14,5,2,5,2,4000,3,268005
0.61,0.19,0.93,0.57,0.26,10,10,0,5,0,6000,3,88064
0.51,0.26,0.54,0.79,0.25,10,7,2,4,0,10000,3,177128
0.46,0.59,0.03,0.12,0.07,5,4,1,4,1,6000,1,23276
0.29,0.4,0.75,0.34,0.55,5,7,1,3,0,6000,3,122348
0.91,0.5,0.2,0.74,0.87,5,4,0,2,2,4000,2,45219
0.92,0.68,0.66,0.61,0.76,14,3,1,3,2,4000,4,121245
0.18,0.76,0.51,0.4,0.75,5,3,2,4,1,6000,1,39223
0.86,0.78,0.46,0.12,0.52,7,3,0,6,0,5000,1,14028
0.86,0.19,0.26,0.27,0.96,7,5,0,4,1,3000,4,118944
0.85,0.28,0.18,0.13,0.58,5,3,2,3,0,6000,4,105313
0.8,0.74,0.47,0.01,0.42,5,10,2,6,1,10000,4,411841
0.86,0.05,0.1,0.16,0.22,7,7,2,1,1,8000,3,190691
0.56,0.93,0.26,0.02,0.12,14,4,2,5,2,8000,2,108630
0.33,0.51,0.77,0.45,0.08,14,5,1,6,0,10000,2,50280
0.63,0.57,0.85,0.07,0.16,5,5,1,6,1,8000,3,104597
0.27,0.44,0.86,0.36,0.59,10,7,0,2,0,3000,2,51644
0.74,0.75,0.21,0.4,0.1,10,10,0,1,1,6000,1,31249
0.16,0.65,0.89,0.31,0.25,7,7,2,2,0,6000,2,99311
0.36,0.92,0.86,0.47,0.87,7,10,1,2,2,6000,2,193773
0.63,0.64,0.56,0.52,0.64,7,5,1,5,0,10000,1,28334
0.41,0.16,0.01,0.52,0.76,5,5,1,4,2,2000,4,208408
