destination_name,name,category,duration_hours,difficulty,price_npr,description,available_months
dest,"Nature Photography - Indrenital, Damak",Nature,3,Easy,0,"Photography at scenic viewpoints at Indrenital, Damak","3,4,5,9,10,11"
dest,"Village Walk - Indrenital, Damak",Nature,2,Easy,0,"Walk through traditional villages at Indrenital, Damak","3,4,5,9,10,11"
dest,"Viewpoint Visit - Indrenital, Damak",Nature,1.5,Easy,0,"Visit scenic viewpoint at Indrenital, Damak","3,4,5,9,10,11"
dest,"Garden Tour - Indrenital, Damak",Nature,2,Easy,200,"Visit to botanical garden or park at Indrenital, Damak","3,4,5,9,10,11"
dest,"Radha krishna mandir, Itahari Orientation Walk",Sightseeing,2,Easy,0,"Introductory walking tour of Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,"Temple Visit - Radha krishna mandir, Itahari",Cultural,2,Easy,300,"Visit the historic temple complex at Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,"Heritage Walk - Radha krishna mandir, Itahari",Cultural,3,Easy,200,"Guided heritage walking tour at Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,"Cultural Dance Show - Radha krishna mandir, Itahari",Cultural,2,Easy,500,"Traditional Nepali dance performance at Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,"Pottery Workshop - Radha krishna mandir, Itahari",Cultural,2,Easy,800,"Learn traditional Nepali pottery at Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,"Local Market Tour - Radha krishna mandir, Itahari",Cultural,2,Easy,0,"Explore local market and shops at Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,"Museum Visit - Radha krishna mandir, Itahari",Cultural,2,Easy,400,"Visit the local museum at Radha krishna mandir, Itahari","1,2,3,4,5,9,10,11,12"
dest,Chuli pokhari Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Chuli pokhari,"3,4,5,9,10,11"
dest,Lake Boating - Chuli pokhari,Nature,2,Easy,500,Boating on the scenic lake at Chuli pokhari,"3,4,5,9,10,11"
dest,Waterfall Visit - Chuli pokhari,Nature,3,Easy,0,Visit to nearby waterfall at Chuli pokhari,"3,4,5,9,10,11"
dest,Nature Photography - Chuli pokhari,Nature,3,Easy,0,Photography at scenic viewpoints at Chuli pokhari,"3,4,5,9,10,11"
dest,Village Walk - Chuli pokhari,Nature,2,Easy,0,Walk through traditional villages at Chuli pokhari,"3,4,5,9,10,11"
dest,Viewpoint Visit - Chuli pokhari,Nature,1.5,Easy,0,Visit scenic viewpoint at Chuli pokhari,"3,4,5,9,10,11"
dest,Garden Tour - Chuli pokhari,Nature,2,Easy,200,Visit to botanical garden or park at Chuli pokhari,"3,4,5,9,10,11"
dest,Namje village Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Namje village,"3,4,5,9,10,11"
dest,Lake Boating - Namje village,Nature,2,Easy,500,Boating on the scenic lake at Namje village,"3,4,5,9,10,11"
dest,Waterfall Visit - Namje village,Nature,3,Easy,0,Visit to nearby waterfall at Namje village,"3,4,5,9,10,11"
dest,Nature Photography - Namje village,Nature,3,Easy,0,Photography at scenic viewpoints at Namje village,"3,4,5,9,10,11"
dest,Village Walk - Namje village,Nature,2,Easy,0,Walk through traditional villages at Namje village,"3,4,5,9,10,11"
dest,Viewpoint Visit - Namje village,Nature,1.5,Easy,0,Visit scenic viewpoint at Namje village,"3,4,5,9,10,11"
dest,Garden Tour - Namje village,Nature,2,Easy,200,Visit to botanical garden or park at Namje village,"3,4,5,9,10,11"
dest,Baraha Chhetra Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Baraha Chhetra,Cultural,2,Easy,300,Visit the historic temple complex at Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Baraha Chhetra,Cultural,3,Easy,200,Guided heritage walking tour at Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Baraha Chhetra,Cultural,2,Easy,500,Traditional Nepali dance performance at Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Pottery Workshop - Baraha Chhetra,Cultural,2,Easy,800,Learn traditional Nepali pottery at Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Local Market Tour - Baraha Chhetra,Cultural,2,Easy,0,Explore local market and shops at Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Museum Visit - Baraha Chhetra,Cultural,2,Easy,400,Visit the local museum at Baraha Chhetra,"1,2,3,4,5,9,10,11,12"
dest,Betana wetland Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Betana wetland,"1,2,3,10,11,12"
dest,Jungle Safari - Betana wetland,Wildlife,4,Moderate,3500,Jeep safari in the national park at Betana wetland,"1,2,3,10,11,12"
dest,Bird Watching - Betana wetland,Wildlife,3,Easy,500,Guided bird watching tour at Betana wetland,"1,2,3,10,11,12"
dest,Canoe Ride - Betana wetland,Wildlife,2,Easy,800,Canoe ride through the river at Betana wetland,"1,2,3,10,11,12"
dest,Elephant Safari - Betana wetland,Wildlife,3,Easy,2500,Elephant-back safari in the jungle at Betana wetland,"1,2,3,10,11,12"
dest,Nature Walk - Betana wetland,Nature,2,Easy,300,Guided walk through the forest at Betana wetland,"1,2,3,10,11,12"
dest,Wildlife Photography Tour - Betana wetland,Wildlife,4,Moderate,1500,Photography tour in jungle at Betana wetland,"1,2,3,10,11,12"
dest,"Kechana, jhapa Orientation Walk",Sightseeing,2,Easy,0,"Introductory walking tour of Kechana, jhapa","3,4,5,9,10,11"
dest,"Lake Boating - Kechana, jhapa",Nature,2,Easy,500,"Boating on the scenic lake at Kechana, jhapa","3,4,5,9,10,11"
dest,"Waterfall Visit - Kechana, jhapa",Nature,3,Easy,0,"Visit to nearby waterfall at Kechana, jhapa","3,4,5,9,10,11"
dest,"Nature Photography - Kechana, jhapa",Nature,3,Easy,0,"Photography at scenic viewpoints at Kechana, jhapa","3,4,5,9,10,11"
dest,"Village Walk - Kechana, jhapa",Nature,2,Easy,0,"Walk through traditional villages at Kechana, jhapa","3,4,5,9,10,11"
dest,"Viewpoint Visit - Kechana, jhapa",Nature,1.5,Easy,0,"Visit scenic viewpoint at Kechana, jhapa","3,4,5,9,10,11"
dest,"Garden Tour - Kechana, jhapa",Nature,2,Easy,200,"Visit to botanical garden or park at Kechana, jhapa","3,4,5,9,10,11"
dest,"Kanyam, Illam Orientation Walk",Sightseeing,2,Easy,0,"Introductory walking tour of Kanyam, Illam","3,4,5,9,10,11"
dest,"Lake Boating - Kanyam, Illam",Nature,2,Easy,500,"Boating on the scenic lake at Kanyam, Illam","3,4,5,9,10,11"
dest,"Waterfall Visit - Kanyam, Illam",Nature,3,Easy,0,"Visit to nearby waterfall at Kanyam, Illam","3,4,5,9,10,11"
dest,"Nature Photography - Kanyam, Illam",Nature,3,Easy,0,"Photography at scenic viewpoints at Kanyam, Illam","3,4,5,9,10,11"
dest,"Village Walk - Kanyam, Illam",Nature,2,Easy,0,"Walk through traditional villages at Kanyam, Illam","3,4,5,9,10,11"
dest,"Viewpoint Visit - Kanyam, Illam",Nature,1.5,Easy,0,"Visit scenic viewpoint at Kanyam, Illam","3,4,5,9,10,11"
dest,"Garden Tour - Kanyam, Illam",Nature,2,Easy,200,"Visit to botanical garden or park at Kanyam, Illam","3,4,5,9,10,11"
dest,Sandakphu Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Sandakphu,"3,4,5,9,10,11"
dest,Lake Boating - Sandakphu,Nature,2,Easy,500,Boating on the scenic lake at Sandakphu,"3,4,5,9,10,11"
dest,Waterfall Visit - Sandakphu,Nature,3,Easy,0,Visit to nearby waterfall at Sandakphu,"3,4,5,9,10,11"
dest,Nature Photography - Sandakphu,Nature,3,Easy,0,Photography at scenic viewpoints at Sandakphu,"3,4,5,9,10,11"
dest,Village Walk - Sandakphu,Nature,2,Easy,0,Walk through traditional villages at Sandakphu,"3,4,5,9,10,11"
dest,Viewpoint Visit - Sandakphu,Nature,1.5,Easy,0,Visit scenic viewpoint at Sandakphu,"3,4,5,9,10,11"
dest,Garden Tour - Sandakphu,Nature,2,Easy,200,Visit to botanical garden or park at Sandakphu,"3,4,5,9,10,11"
dest,Jorsale Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Jorsale,"3,4,5,9,10,11"
dest,Mountain Trekking - Jorsale,Adventure,4,Moderate,1500,Trek through mountain trails at Jorsale,"3,4,5,9,10,11"
dest,Sunrise Hike - Jorsale,Adventure,3,Moderate,500,Early morning hike to viewpoint at Jorsale,"3,4,5,9,10,11"
dest,Rock Climbing - Jorsale,Adventure,3,Challenging,2000,Guided rock climbing session at Jorsale,"3,4,5,9,10,11"
dest,River Crossing - Jorsale,Adventure,2,Moderate,800,Cross a suspension bridge at Jorsale,"3,4,5,9,10,11"
dest,Mountain Biking - Jorsale,Adventure,4,Challenging,2500,Mountain biking trail ride at Jorsale,"3,4,5,9,10,11"
dest,Camping Experience - Jorsale,Adventure,8,Moderate,3000,Overnight camping in nature at Jorsale,"3,4,5,9,10,11"
dest,Raja rani Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Raja rani,"3,4,5,9,10,11"
dest,Lake Boating - Raja rani,Nature,2,Easy,500,Boating on the scenic lake at Raja rani,"3,4,5,9,10,11"
dest,Waterfall Visit - Raja rani,Nature,3,Easy,0,Visit to nearby waterfall at Raja rani,"3,4,5,9,10,11"
dest,Nature Photography - Raja rani,Nature,3,Easy,0,Photography at scenic viewpoints at Raja rani,"3,4,5,9,10,11"
dest,Village Walk - Raja rani,Nature,2,Easy,0,Walk through traditional villages at Raja rani,"3,4,5,9,10,11"
dest,Viewpoint Visit - Raja rani,Nature,1.5,Easy,0,Visit scenic viewpoint at Raja rani,"3,4,5,9,10,11"
dest,Garden Tour - Raja rani,Nature,2,Easy,200,Visit to botanical garden or park at Raja rani,"3,4,5,9,10,11"
dest,Ama dablam Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Ama dablam,"3,4,5,9,10,11"
dest,Mountain Trekking - Ama dablam,Adventure,4,Moderate,1500,Trek through mountain trails at Ama dablam,"3,4,5,9,10,11"
dest,Sunrise Hike - Ama dablam,Adventure,3,Moderate,500,Early morning hike to viewpoint at Ama dablam,"3,4,5,9,10,11"
dest,Rock Climbing - Ama dablam,Adventure,3,Challenging,2000,Guided rock climbing session at Ama dablam,"3,4,5,9,10,11"
dest,River Crossing - Ama dablam,Adventure,2,Moderate,800,Cross a suspension bridge at Ama dablam,"3,4,5,9,10,11"
dest,Mountain Biking - Ama dablam,Adventure,4,Challenging,2500,Mountain biking trail ride at Ama dablam,"3,4,5,9,10,11"
dest,Camping Experience - Ama dablam,Adventure,8,Moderate,3000,Overnight camping in nature at Ama dablam,"3,4,5,9,10,11"
dest,Chukhung Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Chukhung,"3,4,5,9,10,11"
dest,Mountain Trekking - Chukhung,Adventure,4,Moderate,1500,Trek through mountain trails at Chukhung,"3,4,5,9,10,11"
dest,Sunrise Hike - Chukhung,Adventure,3,Moderate,500,Early morning hike to viewpoint at Chukhung,"3,4,5,9,10,11"
dest,Rock Climbing - Chukhung,Adventure,3,Challenging,2000,Guided rock climbing session at Chukhung,"3,4,5,9,10,11"
dest,River Crossing - Chukhung,Adventure,2,Moderate,800,Cross a suspension bridge at Chukhung,"3,4,5,9,10,11"
dest,Mountain Biking - Chukhung,Adventure,4,Challenging,2500,Mountain biking trail ride at Chukhung,"3,4,5,9,10,11"
dest,Camping Experience - Chukhung,Adventure,8,Moderate,3000,Overnight camping in nature at Chukhung,"3,4,5,9,10,11"
dest,"Kunde, Nepal Orientation Walk",Sightseeing,2,Easy,0,"Introductory walking tour of Kunde, Nepal","3,4,5,9,10,11"
dest,"Mountain Trekking - Kunde, Nepal",Adventure,4,Moderate,1500,"Trek through mountain trails at Kunde, Nepal","3,4,5,9,10,11"
dest,"Sunrise Hike - Kunde, Nepal",Adventure,3,Moderate,500,"Early morning hike to viewpoint at Kunde, Nepal","3,4,5,9,10,11"
dest,"Rock Climbing - Kunde, Nepal",Adventure,3,Challenging,2000,"Guided rock climbing session at Kunde, Nepal","3,4,5,9,10,11"
dest,"River Crossing - Kunde, Nepal",Adventure,2,Moderate,800,"Cross a suspension bridge at Kunde, Nepal","3,4,5,9,10,11"
dest,"Mountain Biking - Kunde, Nepal",Adventure,4,Challenging,2500,"Mountain biking trail ride at Kunde, Nepal","3,4,5,9,10,11"
dest,"Camping Experience - Kunde, Nepal",Adventure,8,Moderate,3000,"Overnight camping in nature at Kunde, Nepal","3,4,5,9,10,11"
dest,Hasina wetland Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Hasina wetland,"3,4,5,9,10,11"
dest,Mountain Trekking - Hasina wetland,Adventure,4,Moderate,1500,Trek through mountain trails at Hasina wetland,"3,4,5,9,10,11"
dest,Sunrise Hike - Hasina wetland,Adventure,3,Moderate,500,Early morning hike to viewpoint at Hasina wetland,"3,4,5,9,10,11"
dest,Rock Climbing - Hasina wetland,Adventure,3,Challenging,2000,Guided rock climbing session at Hasina wetland,"3,4,5,9,10,11"
dest,River Crossing - Hasina wetland,Adventure,2,Moderate,800,Cross a suspension bridge at Hasina wetland,"3,4,5,9,10,11"
dest,Mountain Biking - Hasina wetland,Adventure,4,Challenging,2500,Mountain biking trail ride at Hasina wetland,"3,4,5,9,10,11"
dest,Camping Experience - Hasina wetland,Adventure,8,Moderate,3000,Overnight camping in nature at Hasina wetland,"3,4,5,9,10,11"
dest,Bhojpur Orientation Walk,Sightseeing,2,Easy,0,Introductory walking tour of Bhojpur,"1,2,3,4,5,9,10,11,12"
dest,Temple Visit - Bhojpur,Cultural,2,Easy,300,Visit the historic temple complex at Bhojpur,"1,2,3,4,5,9,10,11,12"
dest,Heritage Walk - Bhojpur,Cultural,3,Easy,200,Guided heritage walking tour at Bhojpur,"1,2,3,4,5,9,10,11,12"
dest,Cultural Dance Show - Bhojpur,Cultural,2,Easy,500,Traditional Nepali dance performance at Bhojpur,"1,2,3,4,5,9,10,11,12"
