name,slug,region,category,description,short_description,highlights,best_season,best_months,difficulty,min_days,max_days,base_price_per_day,image_url,latitude,longitude,tags,is_featured
Dhanpal fort,dhanpal-fort,Terai,Cultural,"Dhanpal fort is a popular cultural destination in the Terai region of Nepal. Known for its fort, temple, hindu, hiking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Dhanpal fort — a beautiful cultural destination in Nepal.,Fort|Temple|Hindu|Hiking|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/dhanpal-fort.jpg,29.3898,86.6752,"fort,temple,hindu,hiking",False
Koshi Barrage,koshi-barrage,Terai,Nature,"Koshi Barrage is a popular nature destination in the Terai region of Nepal. Known for its landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Koshi Barrage — a beautiful nature destination in Nepal.,Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/koshi-barrage.jpg,27.6666,80.5103,landmarks,False
"jhandi dada, Illam",jhandi-dada-illam,Terai,Adventure,"jhandi dada, Illam is a popular adventure destination in the Terai region of Nepal. Known for its Sighting, hiking, landmarks.hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.","Explore jhandi dada, Illam — a beautiful adventure destination in Nepal.",Sighting|Hiking|Landmarks.Hills|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/jhandi-dada-illam.jpg,29.2583,84.8395,"sighting,hiking,landmarks.hills",False
"Indrenital, Damak",indrenital-damak,Terai,Nature,"Indrenital, Damak is a popular nature destination in the Terai region of Nepal. Known for its hiking, lake, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Indrenital, Damak — a beautiful nature destination in Nepal.",Hiking|Lake|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/indrenital-damak.jpg,27.0871,85.6449,"hiking,lake,landmarks",False
"Radha krishna mandir, Itahari",radha-krishna-mandir-itahari,Terai,Cultural,"Radha krishna mandir, Itahari is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.","Explore Radha krishna mandir, Itahari — a beautiful cultural destination in Nepal.",Hindu|Temple|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/radha-krishna-mandir-itahari.jpg,26.7772,81.0199,"hindu,temple",False
Chuli pokhari,chuli-pokhari,Terai,Nature,"Chuli pokhari is a popular nature destination in the Terai region of Nepal. Known for its pond, hiking, landmarks, hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Chuli pokhari — a beautiful nature destination in Nepal.,Pond|Hiking|Landmarks|Hills,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/chuli-pokhari.jpg,29.0613,84.2062,"pond,hiking,landmarks,hills",False
Namje village,namje-village,Terai,Nature,"Namje village is a popular nature destination in the Terai region of Nepal. Known for its hiking, hills, landmarks, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Namje village — a beautiful nature destination in Nepal.,Hiking|Hills|Landmarks|Mountains,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/namje-village.jpg,27.7476,85.8223,"hiking,hills,landmarks,mountains",False
Baraha Chhetra,baraha-chhetra,Terai,Cultural,"Baraha Chhetra is a popular cultural destination in the Terai region of Nepal. Known for its hindu, temple, hills, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Baraha Chhetra — a beautiful cultural destination in Nepal.,Hindu|Temple|Hills|River|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/baraha-chhetra.jpg,28.7985,81.0948,"hindu,temple,hills,river",False
Betana wetland,betana-wetland,Terai,Wildlife,"Betana wetland is a popular wildlife destination in the Terai region of Nepal. Known for its zoo, wetland, pond, wildlife, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking wildlife experiences.",Explore Betana wetland — a beautiful wildlife destination in Nepal.,Zoo|Wetland|Pond|Wildlife,Autumn (Sep-Nov),"1,2,3,10,11,12",Moderate,2,5,4000,/images/destinations/betana-wetland.jpg,27.5789,82.6194,"zoo,wetland,pond,wildlife",False
"Kechana, jhapa",kechana-jhapa,Terai,Nature,"Kechana, jhapa is a popular nature destination in the Terai region of Nepal. Known for its landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Kechana, jhapa — a beautiful nature destination in Nepal.",Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,2,5,3000,/images/destinations/kechana-jhapa.jpg,28.2441,87.3581,landmarks,False
"Kanyam, Illam",kanyam-illam,Terai,Nature,"Kanyam, Illam is a popular nature destination in the Terai region of Nepal. Known for its garden, hills, hiking, landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Kanyam, Illam — a beautiful nature destination in Nepal.",Garden|Hills|Hiking|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/kanyam-illam.jpg,26.7077,84.4673,"garden,hills,hiking,landmarks",False
Sandakphu,sandakphu,Terai,Nature,"Sandakphu is a popular nature destination in the Terai region of Nepal. Known for its mountains, hills, hiking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Sandakphu — a beautiful nature destination in Nepal.,Mountains|Hills|Hiking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,2,5,4500,/images/destinations/sandakphu.jpg,26.9175,87.4963,"mountains,hills,hiking",False
Jorsale,jorsale,Terai,Adventure,"Jorsale is a popular adventure destination in the Terai region of Nepal. Known for its trekking, hills, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Jorsale — a beautiful adventure destination in Nepal.,Trekking|Hills,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/jorsale.jpg,29.2347,80.3537,"trekking,hills",False
Raja rani,raja-rani,Terai,Nature,"Raja rani is a popular nature destination in the Terai region of Nepal. Known for its lake, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Raja rani — a beautiful nature destination in Nepal.,Lake|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/raja-rani.jpg,27.5616,82.9217,"lake,trekking",False
Ama dablam,ama-dablam,Terai,Adventure,"Ama dablam is a popular adventure destination in the Terai region of Nepal. Known for its hiking, trekking, mouintains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Ama dablam — a beautiful adventure destination in Nepal.,Hiking|Trekking|Mouintains,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/ama-dablam.jpg,27.863,80.3095,"hiking,trekking,mouintains",False
Chukhung,chukhung,Terai,Adventure,"Chukhung is a popular adventure destination in the Terai region of Nepal. Known for its trekking, mountains, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Chukhung — a beautiful adventure destination in Nepal.,Trekking|Mountains,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/chukhung.jpg,28.3163,86.9931,"trekking,mountains",False
"Kunde, Nepal",kunde-nepal,Terai,Adventure,"Kunde, Nepal is a popular adventure destination in the Terai region of Nepal. Known for its mountains, hiking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.","Explore Kunde, Nepal — a beautiful adventure destination in Nepal.",Mountains|Hiking|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/kunde-nepal.jpg,27.8173,84.8982,"mountains,hiking",False
Hasina wetland,hasina-wetland,Terai,Adventure,"Hasina wetland is a popular adventure destination in the Terai region of Nepal. Known for its trekking, picnic, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Hasina wetland — a beautiful adventure destination in Nepal.,Trekking|Picnic,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/hasina-wetland.jpg,28.973,80.2958,"trekking,picnic",False
Bhojpur,bhojpur,Terai,Cultural,"Bhojpur is a popular cultural destination in the Terai region of Nepal. Known for its hiking, temple, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Bhojpur — a beautiful cultural destination in Nepal.,Hiking|Temple|River|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/bhojpur.jpg,28.1065,86.6452,"hiking,temple,river",False
Koshi tappu wildlife reserve,koshi-tappu-wildlife-reserve,Terai,Adventure,"Koshi tappu wildlife reserve is a popular adventure destination in the Terai region of Nepal. Known for its hiking, sighting, wildlife, boat ride, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Koshi tappu wildlife reserve — a beautiful adventure destination in Nepal.,Hiking|Sighting|Wildlife|Boat Ride|Tour|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/koshi-tappu-wildlife-reserve.jpg,28.5714,80.7327,"hiking,sighting,wildlife,boat ride,tour",False
"Bhedetar, dhankuta",bhedetar-dhankuta,Terai,Adventure,"Bhedetar, dhankuta is a popular adventure destination in the Terai region of Nepal. Known for its hiking, food tour, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.","Explore Bhedetar, dhankuta — a beautiful adventure destination in Nepal.",Hiking|Food Tour|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/bhedetar-dhankuta.jpg,28.8169,80.7066,"hiking,food tour",False
"Urlabari, jhapa",urlabari-jhapa,Terai,Adventure,"Urlabari, jhapa is a popular adventure destination in the Terai region of Nepal. Known for its trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.","Explore Urlabari, jhapa — a beautiful adventure destination in Nepal.",Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/urlabari-jhapa.jpg,27.2531,87.5123,trekking,False
Mini mountain,mini-mountain,Terai,Adventure,"Mini mountain is a popular adventure destination in the Terai region of Nepal. Known for its picnic, mountains, family tour spot, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Mini mountain — a beautiful adventure destination in Nepal.,Picnic|Mountains|Family Tour Spot|River|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/mini-mountain.jpg,27.1112,80.3553,"picnic,mountains,family tour spot,river",False
"Triyuga Baan, fattepur",triyuga-baan-fattepur,Terai,Adventure,"Triyuga Baan, fattepur is a popular adventure destination in the Terai region of Nepal. Known for its hiking, landmarks, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.","Explore Triyuga Baan, fattepur — a beautiful adventure destination in Nepal.",Hiking|Landmarks|River|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/triyuga-baan-fattepur.jpg,28.6621,86.1636,"hiking,landmarks,river",False
Mechinagar,mechinagar,Terai,Adventure,"Mechinagar is a popular adventure destination in the Terai region of Nepal. Known for its city Tour Destinations, Landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Mechinagar — a beautiful adventure destination in Nepal.,City Tour Destinations|Landmarks|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/mechinagar.jpg,27.5336,87.9458,"city tour destinations,landmarks",False
Phakding,phakding,Terai,Adventure,"Phakding is a popular adventure destination in the Terai region of Nepal. Known for its trekking, hills, Landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Phakding — a beautiful adventure destination in Nepal.,Trekking|Hills|Landmarks,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/phakding.jpg,29.203,84.7531,"trekking,hills,landmarks",False
"Shiv Jhatta, Dharan",shiv-jhatta-dharan,Terai,Adventure,"Shiv Jhatta, Dharan is a popular adventure destination in the Terai region of Nepal. Known for its Hiking, Landmarks, waterfall, picnic spot, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.","Explore Shiv Jhatta, Dharan — a beautiful adventure destination in Nepal.",Hiking|Landmarks|Waterfall|Picnic Spot|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/shiv-jhatta-dharan.jpg,29.1869,81.2738,"hiking,landmarks,waterfall,picnic spot",False
Kongde ri,kongde-ri,Terai,Adventure,"Kongde ri is a popular adventure destination in the Terai region of Nepal. Known for its Hiking, Hills, Landmarks, Trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Kongde ri — a beautiful adventure destination in Nepal.,Hiking|Hills|Landmarks|Trekking|Mountain,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/kongde-ri.jpg,29.0098,81.6137,"hiking,hills,landmarks,trekking,mountain",False
Haleshi-maratika cave,haleshi-maratika-cave,Terai,Adventure,"Haleshi-maratika cave is a popular adventure destination in the Terai region of Nepal. Known for its Tour, Hiking, Landmarks, Religious, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Haleshi-maratika cave — a beautiful adventure destination in Nepal.,Tour|Hiking|Landmarks|Religious|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/haleshi-maratika-cave.jpg,27.2449,85.893,"tour,hiking,landmarks,religious",False
Olangchung Gola,olangchung-gola,Terai,Adventure,"Olangchung Gola is a popular adventure destination in the Terai region of Nepal. Known for its Tour, Hiking, Hills, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Olangchung Gola — a beautiful adventure destination in Nepal.,Tour|Hiking|Hills|River|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/olangchung-gola.jpg,26.636,83.3526,"tour,hiking,hills,river",False
Itahari,itahari,Terai,Adventure,"Itahari is a popular adventure destination in the Terai region of Nepal. Known for its Parks, Tour, Terai, Trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Itahari — a beautiful adventure destination in Nepal.,Parks|Tour|Terai|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/itahari.jpg,28.5882,84.9992,"parks,tour,terai,trekking",False
"Pathivara temple,taplejung",pathivara-templetaplejung,Terai,Nature,"Pathivara temple,taplejung is a popular nature destination in the Terai region of Nepal. Known for its Hiking, Mountains, Religious shrine, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Pathivara temple,taplejung — a beautiful nature destination in Nepal.",Hiking|Mountains|Religious Shrine,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/pathivara-templetaplejung.jpg,27.5237,87.709,"hiking,mountains,religious shrine",False
Budhasubba,budhasubba,Terai,Cultural,"Budhasubba is a popular cultural destination in the Terai region of Nepal. Known for its Religious shrine, river, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Budhasubba — a beautiful cultural destination in Nepal.,Religious Shrine|River|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/budhasubba.jpg,28.7119,84.262,"religious shrine,river",False
"Sriyantuu, ilam",sriyantuu-ilam,Terai,Nature,"Sriyantuu, ilam is a popular nature destination in the Terai region of Nepal. Known for its Tour, Hills, Landmarks, picnic spot, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.","Explore Sriyantuu, ilam — a beautiful nature destination in Nepal.",Tour|Hills|Landmarks|Picnic Spot,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/sriyantuu-ilam.jpg,28.5729,83.7906,"tour,hills,landmarks,picnic spot",False
Namchebazaar,namchebazaar,Terai,Adventure,"Namchebazaar is a popular adventure destination in the Terai region of Nepal. Known for its hills, trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Namchebazaar — a beautiful adventure destination in Nepal.,Hills|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/namchebazaar.jpg,28.9541,87.3772,"hills,trekking",False
"kerabar,morang",kerabarmorang,Terai,Cultural,"kerabar,morang is a popular cultural destination in the Terai region of Nepal. Known for its Tour, Landmarks, Trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.","Explore kerabar,morang — a beautiful cultural destination in Nepal.",Tour|Landmarks|Trekking|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/kerabarmorang.jpg,27.7848,82.8592,"tour,landmarks,trekking",False
Gairi pangma,gairi-pangma,Terai,Cultural,"Gairi pangma is a popular cultural destination in the Terai region of Nepal. Known for its Tour, Hiking, Landmarks, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.",Explore Gairi pangma — a beautiful cultural destination in Nepal.,Tour|Hiking|Landmarks|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Moderate,1,4,3000,/images/destinations/gairi-pangma.jpg,27.4891,85.6913,"tour,hiking,landmarks",False
Mechi bridge,mechi-bridge,Terai,Nature,"Mechi bridge is a popular nature destination in the Terai region of Nepal. Known for its Tour, Landmarks, river, terai, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking nature experiences.",Explore Mechi bridge — a beautiful nature destination in Nepal.,Tour|Landmarks|River|Terai,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,2,5,3000,/images/destinations/mechi-bridge.jpg,27.3253,83.5128,"tour,landmarks,river,terai",False
Nuptse,nuptse,Terai,Adventure,"Nuptse is a popular adventure destination in the Terai region of Nepal. Known for its Tour, Hiking, Landmarks, Trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Nuptse — a beautiful adventure destination in Nepal.,Tour|Hiking|Landmarks|Trekking|Mountain,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/nuptse.jpg,27.9398,85.2766,"tour,hiking,landmarks,trekking,mountain",False
Solududhkunda,solududhkunda,Terai,Adventure,"Solududhkunda is a popular adventure destination in the Terai region of Nepal. Known for its Tour, Hiking, Landmarks, Trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Solududhkunda — a beautiful adventure destination in Nepal.,Tour|Hiking|Landmarks|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/solududhkunda.jpg,29.3921,83.9434,"tour,hiking,landmarks,trekking",False
Dughla,dughla,Terai,Adventure,"Dughla is a popular adventure destination in the Terai region of Nepal. Known for its Hiking, Landmarks, Trekking, lake, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Dughla — a beautiful adventure destination in Nepal.,Hiking|Landmarks|Trekking|Lake|Mountain,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Challenging,5,14,7500,/images/destinations/dughla.jpg,29.2902,84.727,"hiking,landmarks,trekking,lake,mountain",False
khumjung,khumjung,Terai,Adventure,"khumjung is a popular adventure destination in the Terai region of Nepal. Known for its Hiking, Landmarks, Trekking, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore khumjung — a beautiful adventure destination in Nepal.,Hiking|Landmarks|Trekking,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Easy,3,7,5000,/images/destinations/khumjung.jpg,27.4845,82.9531,"hiking,landmarks,trekking",False
"Mude, sankhuwasabha",mude-sankhuwasabha,Terai,Cultural,"Mude, sankhuwasabha is a popular cultural destination in the Terai region of Nepal. Known for its Food Tour, Hiking, Hilly, Mountain, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking cultural experiences.","Explore Mude, sankhuwasabha — a beautiful cultural destination in Nepal.",Food Tour|Hiking|Hilly|Mountain|Heritage Sites,Spring (Mar-May) and Autumn (Sep-Nov),"1,2,3,4,5,9,10,11,12",Easy,1,4,3000,/images/destinations/mude-sankhuwasabha.jpg,28.7445,80.215,"food tour,hiking,hilly,mountain",False
Gokulam resort,gokulam-resort,Terai,Adventure,"Gokulam resort is a popular adventure destination in the Terai region of Nepal. Known for its Tour, Hiking, Terai, it offers visitors an authentic Nepali experience. This destination is ideal for travellers seeking adventure experiences.",Explore Gokulam resort — a beautiful adventure destination in Nepal.,Tour|Hiking|Terai|Mountain Views,Spring (Mar-May) and Autumn (Sep-Nov),"3,4,5,9,10,11",Moderate,3,7,5000,/images/destinations/gokulam-resort.jpg,26.5044,86.1963,"tour,hiking,terai",False
